grid_cell_id,elevation_m,slope_deg
cell_0177,1170.0,0.31
cell_0178,1225.0,2.41
cell_0179,1811.0,6.75
cell_0180,1944.0,4.41
cell_0181,1966.0,6.64
cell_0182,1808.0,9.37
cell_0183,1837.0,7.84
cell_0184,2005.0,11.02
cell_0185,2010.0,3.45
cell_0186,2079.0,7.07
cell_0187,1905.0,4.62
cell_0188,2024.0,13.71
cell_0189,1649.0,13.7
cell_0190,1715.0,6.8
cell_0191,1570.0,8.93
cell_0192,1450.0,7.3
cell_0193,1243.0,0.98
cell_0194,1211.0,1.54
cell_0195,1190.0,0.69
cell_0196,1190.0,0.69
cell_0197,1181.0,0.69
cell_0198,1219.0,1.75
cell_0199,1932.0,18.82
cell_0200,1875.0,4.63
cell_0201,1942.0,4.36
cell_0202,1849.0,5.51
cell_0203,1856.0,7.38
cell_0204,1968.0,4.71
cell_0205,1947.0,6.22
cell_0206,1963.0,3.61
cell_0207,1732.0,5.24
cell_0208,1765.0,11.28
cell_0209,1719.0,1.88
cell_0210,1760.0,3.9
cell_0211,1766.0,4.32
cell_0212,1570.0,16.82
cell_0213,1334.0,7.92
cell_0214,1345.0,3.95
cell_0215,1280.0,7.01
cell_0216,1242.0,2.25
cell_0217,1204.0,0.44
cell_0218,1213.0,3.22
cell_0219,1686.0,20.85
cell_0220,1844.0,4.01
cell_0221,1936.0,2.54
cell_0222,1966.0,3.95
cell_0223,1981.0,5.55
cell_0224,1971.0,4.62
cell_0225,1942.0,4.63
cell_0226,1861.0,2.49
cell_0227,1781.0,3.18
cell_0228,1727.0,7.58
cell_0229,1714.0,5.1
cell_0230,1838.0,1.57
cell_0231,1525.0,3.22
cell_0232,1580.0,4.97
cell_0233,1385.0,3.45
cell_0234,1318.0,2.84
cell_0235,1249.0,3.9
cell_0236,1227.0,0.87
cell_0237,1232.0,2.25
cell_0238,1348.0,2.25
cell_0239,1873.0,2.49
cell_0240,1961.0,6.64
cell_0241,1932.0,6.58
cell_0242,2012.0,5.01
cell_0243,1990.0,6.8
cell_0244,1974.0,5.1
cell_0245,1906.0,2.64
cell_0246,1801.0,5.39
cell_0247,1727.0,1.88
cell_0248,1790.0,5.92
cell_0249,1915.0,2.84
cell_0250,1791.0,7.43
cell_0251,1602.0,10.18
cell_0252,1326.0,3.32
cell_0253,1275.0,1.24
cell_0254,1321.0,12.48
cell_0255,1359.0,13.04
cell_0256,1477.0,4.33
cell_0257,1813.0,30.89
cell_0258,2129.0,18.93
cell_0259,1918.0,0.69
cell_0260,2007.0,3.32
cell_0261,1949.0,0.0
cell_0262,2110.0,1.27
cell_0263,1841.0,11.38
cell_0264,1880.0,3.32
cell_0265,1810.0,2.25
cell_0266,1925.0,7.01
cell_0267,1951.0,6.23
cell_0268,1897.0,10.58
cell_0269,1783.0,22.29
cell_0270,1348.0,5.32
cell_0271,1334.0,2.76
cell_0272,1426.0,2.49
cell_0273,1405.0,3.28
cell_0274,1436.0,2.18
cell_0275,1752.0,28.53
cell_0276,2022.0,2.18
cell_0277,1984.0,3.22
cell_0278,2035.0,4.94
cell_0279,1978.0,0.31
cell_0280,1897.0,4.36
cell_0281,1947.0,5.55
cell_0282,1935.0,5.13
cell_0283,1983.0,4.79
cell_0284,1927.0,5.23
cell_0285,1470.0,9.29
cell_0286,1422.0,4.66
cell_0287,1469.0,1.8
cell_0288,1908.0,14.7
cell_0289,1738.0,16.97
cell_0290,1545.0,4.49
cell_0291,1788.0,8.63
cell_0292,2094.0,4.97
cell_0293,2017.0,6.54
cell_0294,2079.0,1.11
cell_0295,2129.0,1.95
cell_0296,2036.0,11.91
cell_0297,2139.0,4.78
cell_0298,2035.0,9.32
cell_0299,1995.0,9.79
cell_0300,1624.0,21.42
cell_0301,1574.0,13.89
cell_0302,1670.0,9.49
cell_0303,2118.0,9.61
cell_0304,1956.0,11.91
cell_0305,1715.0,16.81
cell_0306,1975.0,16.41
cell_0307,2351.0,16.67
cell_0308,2123.0,6.49
cell_0309,2151.0,3.34
cell_0310,2214.0,8.71
cell_0311,2175.0,2.41
cell_0312,1998.0,5.58
cell_0313,1956.0,4.63
cell_0314,1598.0,0.87
cell_0315,1800.0,3.04
cell_0316,2291.0,9.56
cell_0317,2198.0,10.68
cell_0318,2014.0,13.05
cell_0319,2278.0,6.71
cell_0320,2583.0,4.62
cell_0321,2257.0,5.73
cell_0322,2045.0,11.34
cell_0323,1927.0,11.87
cell_0324,1925.0,12.77
cell_0325,1940.0,6.46
cell_0326,2312.0,14.22
cell_0327,2142.0,25.16
